,pontoId,lat,lon,lat_pred,lon_pred,erro_loc
741,552,-8.074457,-34.900303,-8.074483,-34.900295,3.0231960554952035
17,643,-8.073932000000001,-34.898983,-8.073972,-34.899136,17.42699314260193
698,2406,-8.065813,-34.89069,-8.06581,-34.890671000000005,2.1189005411728643
927,13,-8.077538,-34.899231,-8.077503,-34.899101,14.836295735741563
950,1412,-8.070072,-34.889942,-8.06987,-34.890347,49.94164100668798
790,143,-8.076777,-34.897064,-8.076448,-34.895846999999996,138.9302088633259
1385,2883,-8.061679,-34.90205,-8.06173694736842,-34.90282102631579,85.15787780110617
1149,2407,-8.065813,-34.890029999999996,-8.065792,-34.8904,40.81480970187799
259,534,-8.074529,-34.900295,-8.074089,-34.900421,50.87020685221141
1389,2075,-8.068146,-34.892071,-8.068199,-34.89196,13.571541667793056
1424,1277,-8.070637,-34.891819,-8.070677,-34.891838,4.916666261754142
220,36,-8.077442,-34.899353000000005,-8.077133,-34.899448,35.92703330294736
217,2033,-8.068441,-34.896912,-8.069466,-34.895191,221.17992979410795
804,1790,-8.069077,-34.900504999999995,-8.06893,-34.900448,17.514367846731936
802,1314,-8.070501,-34.896263,-8.070948,-34.895863,66.42714767505976
1387,1664,-8.069396000000001,-34.895740999999994,-8.06953,-34.895804999999996,16.48728170181492
85,2444,-8.065791,-34.890427,-8.065789,-34.890495,7.49210971941451
1470,2388,-8.065831,-34.891659000000004,-8.065823,-34.891258,44.17089117738166
770,1945,-8.06865,-34.896511,-8.068616,-34.896603000000006,10.814636615615578
1045,1802,-8.069036,-34.891251000000004,-8.068077,-34.890667,124.55844715957272
905,582,-8.07427,-34.900341,-8.074231,-34.900223,13.69993421763245
951,745,-8.073203999999999,-34.890629,-8.073153999999999,-34.890617,5.716347675604596
1108,1041,-8.072076,-34.896996,-8.072767,-34.896,133.93546955551778
